origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file,year_start,year_end
20,001,02,130,Kansas,Allen County,13263,75,11127,401,2120,369,1105,279,720,283,295,124,16.0,26.0,Alaska,Ketchikan Gateway Borough,13582.0,522.0,10445.0,473.0,3137.0,632.0,1546.0,424.0,394.0,266.0,1197.0,367.0,,,21,32,Allen,Ketchikan Gateway Borough,20_001,02_130,inflow_05_09_Kansas.csv,2005,2009
20,001,04,013,Kansas,Allen County,13263,75,11127,401,2120,369,1105,279,720,283,295,124,16.0,26.0,Arizona,Maricopa County,3722654.0,7682.0,2993298.0,11083.0,729328.0,10990.0,569170.0,9886.0,47055.0,2726.0,113103.0,4066.0,28.0,36.0,12,18,Allen,Maricopa,20_001,04_013,inflow_05_09_Kansas.csv,2005,2009
20,001,05,047,Kansas,Allen County,13263,75,11127,401,2120,369,1105,279,720,283,295,124,16.0,26.0,Arkansas,Franklin County,17968.0,539.0,15714.0,474.0,2254.0,596.0,1133.0,345.0,807.0,392.0,314.0,231.0,,,11,12,Allen,Franklin,20_001,05_047,inflow_05_09_Kansas.csv,2005,2009
20,001,05,143,Kansas,Allen County,13263,75,11127,401,2120,369,1105,279,720,283,295,124,16.0,26.0,Arkansas,Washington County,183907.0,2280.0,140596.0,2327.0,43311.0,2414.0,29535.0,1947.0,7664.0,1135.0,6112.0,749.0,,,3,5,Allen,Washington,20_001,05_143,inflow_05_09_Kansas.csv,2005,2009
20,001,06,073,Kansas,Allen County,13263,75,11127,401,2120,369,1105,279,720,283,295,124,16.0,26.0,California,San Diego County,2923461.0,6696.0,2402432.0,8152.0,520924.0,8429.0,363883.0,7418.0,63506.0,2853.0,93535.0,3351.0,105.0,79.0,7,13,Allen,San Diego,20_001,06_073,inflow_05_09_Kansas.csv,2005,2009
20,001,06,085,Kansas,Allen County,13263,75,11127,401,2120,369,1105,279,720,283,295,124,16.0,26.0,California,Santa Clara County,1695555.0,4869.0,1427124.0,6414.0,268431.0,6552.0,187701.0,5619.0,53748.0,2803.0,26982.0,1858.0,,,3,6,Allen,Santa Clara,20_001,06_085,inflow_05_09_Kansas.csv,2005,2009
20,001,12,049,Kansas,Allen County,13263,75,11127,401,2120,369,1105,279,720,283,295,124,16.0,26.0,Florida,Hardee County,27976.0,825.0,24060.0,934.0,3916.0,795.0,2339.0,718.0,1097.0,377.0,480.0,246.0,,,16,27,Allen,Hardee,20_001,12_049,inflow_05_09_Kansas.csv,2005,2009
20,001,13,089,Kansas,Allen County,13263,75,11127,401,2120,369,1105,279,720,283,295,124,16.0,26.0,Georgia,DeKalb County,703868.0,5345.0,563434.0,5275.0,140434.0,5103.0,76911.0,3872.0,43585.0,2954.0,19938.0,1570.0,,,7,13,Allen,DeKalb,20_001,13_089,inflow_05_09_Kansas.csv,2005,2009
20,001,17,031,Kansas,Allen County,13263,75,11127,401,2120,369,1105,279,720,283,295,124,16.0,26.0,Illinois,Cook County,5236008.0,8026.0,4424233.0,10635.0,810967.0,11783.0,575364.0,10651.0,101344.0,4126.0,134259.0,4548.0,808.0,265.0,19,31,Allen,Cook,20_001,17_031,inflow_05_09_Kansas.csv,2005,2009
20,001,18,131,Kansas,Allen County,13263,75,11127,401,2120,369,1105,279,720,283,295,124,16.0,26.0,Indiana,Pulaski County,13640.0,449.0,11700.0,382.0,1940.0,466.0,876.0,287.0,864.0,316.0,200.0,104.0,,,16,27,Allen,Pulaski,20_001,18_131,inflow_05_09_Kansas.csv,2005,2009
