origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,source_file,year_start,year_end
045,001,012,071,South Carolina,Abbeville County,24326.0,117.0,21797.0,595.0,2515.0,589.0,662.0,260.0,1505.0,511.0,348.0,175.0,14.0,22.0,Florida,Lee County,729474.0,3207.0,638686.0,4891.0,90753.0,4990.0,61041.0,4011.0,16322.0,1732.0,13390.0,1237.0,35.0,56.0,1.0,3.0,Abbeville,Lee,inflow_16_20_South Carolina.csv,2016,2020
045,001,012,086,South Carolina,Abbeville County,24326.0,117.0,21797.0,595.0,2515.0,589.0,662.0,260.0,1505.0,511.0,348.0,175.0,14.0,22.0,Florida,Miami-Dade County,2681124.0,5639.0,2359939.0,7633.0,320569.0,8285.0,218927.0,6855.0,58095.0,3593.0,43547.0,2788.0,616.0,235.0,10.0,16.0,Abbeville,Miami-Dade,inflow_16_20_South Carolina.csv,2016,2020
045,001,012,097,South Carolina,Abbeville County,24326.0,117.0,21797.0,595.0,2515.0,589.0,662.0,260.0,1505.0,511.0,348.0,175.0,14.0,22.0,Florida,Osceola County,349315.0,3794.0,308775.0,4171.0,40122.0,3864.0,19096.0,3236.0,15243.0,1942.0,5783.0,805.0,418.0,225.0,14.0,22.0,Abbeville,Osceola,inflow_16_20_South Carolina.csv,2016,2020
045,001,012,099,South Carolina,Abbeville County,24326.0,117.0,21797.0,595.0,2515.0,589.0,662.0,260.0,1505.0,511.0,348.0,175.0,14.0,22.0,Florida,Palm Beach County,1442751.0,5137.0,1261675.0,5858.0,181032.0,5610.0,119519.0,4689.0,33181.0,2217.0,28332.0,2665.0,44.0,50.0,9.0,20.0,Abbeville,Palm Beach,inflow_16_20_South Carolina.csv,2016,2020
045,001,012,109,South Carolina,Abbeville County,24326.0,117.0,21797.0,595.0,2515.0,589.0,662.0,260.0,1505.0,511.0,348.0,175.0,14.0,22.0,Florida,St. Johns County,243483.0,2429.0,213432.0,2867.0,29994.0,2355.0,15591.0,2065.0,8566.0,900.0,5837.0,842.0,57.0,66.0,10.0,20.0,Abbeville,St. Johns,inflow_16_20_South Carolina.csv,2016,2020
045,001,013,031,South Carolina,Abbeville County,24326.0,117.0,21797.0,595.0,2515.0,589.0,662.0,260.0,1505.0,511.0,348.0,175.0,14.0,22.0,Georgia,Bulloch County,71955.0,1204.0,56639.0,1171.0,15316.0,1276.0,10059.0,1027.0,3964.0,757.0,1293.0,338.0,,,16.0,27.0,Abbeville,Bulloch,inflow_16_20_South Carolina.csv,2016,2020
045,001,013,063,South Carolina,Abbeville County,24326.0,117.0,21797.0,595.0,2515.0,589.0,662.0,260.0,1505.0,511.0,348.0,175.0,14.0,22.0,Georgia,Clayton County,279324.0,3822.0,236779.0,3283.0,42545.0,3111.0,20054.0,2053.0,18321.0,2062.0,4170.0,648.0,,,1.0,2.0,Abbeville,Clayton,inflow_16_20_South Carolina.csv,2016,2020
045,001,013,089,South Carolina,Abbeville County,24326.0,117.0,21797.0,595.0,2515.0,589.0,662.0,260.0,1505.0,511.0,348.0,175.0,14.0,22.0,Georgia,DeKalb County,743026.0,5244.0,626202.0,4811.0,116824.0,5451.0,55819.0,3309.0,41119.0,3377.0,19886.0,1844.0,,,5.0,10.0,Abbeville,DeKalb,inflow_16_20_South Carolina.csv,2016,2020
045,001,013,105,South Carolina,Abbeville County,24326.0,117.0,21797.0,595.0,2515.0,589.0,662.0,260.0,1505.0,511.0,348.0,175.0,14.0,22.0,Georgia,Elbert County,18484.0,451.0,16756.0,458.0,1728.0,415.0,902.0,320.0,477.0,158.0,349.0,199.0,,,111.0,149.0,Abbeville,Elbert,inflow_16_20_South Carolina.csv,2016,2020
045,001,013,121,South Carolina,Abbeville County,24326.0,117.0,21797.0,595.0,2515.0,589.0,662.0,260.0,1505.0,511.0,348.0,175.0,14.0,22.0,Georgia,Fulton County,1036641.0,6445.0,853688.0,6131.0,182791.0,5221.0,84814.0,4257.0,60430.0,3767.0,37547.0,2395.0,162.0,139.0,25.0,30.0,Abbeville,Fulton,inflow_16_20_South Carolina.csv,2016,2020
