origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file,year_start,year_end
45,001,12,086,South Carolina,Abbeville County,25010.0,80.0,22397.0,518.0,2565.0,522.0,1053.0,352.0,1347.0,359.0,165.0,78.0,48.0,42.0,Florida,Miami-Dade County,2514474.0,5248.0,2190789.0,7513.0,322554.0,7541.0,233242.0,6259.0,49736.0,2968.0,39576.0,2276.0,1131.0,327.0,3.0,5.0,Abbeville,Miami-Dade,45_001,12_086,inflow_09_13_South Carolina.csv,2009,2013
45,001,13,073,South Carolina,Abbeville County,25010.0,80.0,22397.0,518.0,2565.0,522.0,1053.0,352.0,1347.0,359.0,165.0,78.0,48.0,42.0,Georgia,Columbia County,125043.0,1790.0,109801.0,1634.0,15242.0,1514.0,6336.0,1017.0,4130.0,965.0,4776.0,772.0,,,11.0,19.0,Abbeville,Columbia,45_001,13_073,inflow_09_13_South Carolina.csv,2009,2013
45,001,13,121,South Carolina,Abbeville County,25010.0,80.0,22397.0,518.0,2565.0,522.0,1053.0,352.0,1347.0,359.0,165.0,78.0,48.0,42.0,Georgia,Fulton County,944800.0,4613.0,748471.0,4037.0,196291.0,5034.0,100402.0,3796.0,56863.0,2838.0,39026.0,2325.0,38.0,41.0,16.0,19.0,Abbeville,Fulton,45_001,13_121,inflow_09_13_South Carolina.csv,2009,2013
45,001,13,181,South Carolina,Abbeville County,25010.0,80.0,22397.0,518.0,2565.0,522.0,1053.0,352.0,1347.0,359.0,165.0,78.0,48.0,42.0,Georgia,Lincoln County,7976.0,189.0,7231.0,196.0,745.0,217.0,354.0,174.0,236.0,104.0,155.0,124.0,,,11.0,17.0,Abbeville,Lincoln,45_001,13_181,inflow_09_13_South Carolina.csv,2009,2013
45,001,13,291,South Carolina,Abbeville County,25010.0,80.0,22397.0,518.0,2565.0,522.0,1053.0,352.0,1347.0,359.0,165.0,78.0,48.0,42.0,Georgia,Union County,21275.0,439.0,19024.0,476.0,2251.0,485.0,1202.0,406.0,406.0,144.0,643.0,242.0,,,16.0,26.0,Abbeville,Union,45_001,13_291,inflow_09_13_South Carolina.csv,2009,2013
45,001,24,043,South Carolina,Abbeville County,25010.0,80.0,22397.0,518.0,2565.0,522.0,1053.0,352.0,1347.0,359.0,165.0,78.0,48.0,42.0,Maryland,Washington County,146096.0,1308.0,124218.0,1519.0,21878.0,1530.0,13355.0,1382.0,3463.0,387.0,5060.0,817.0,,,3.0,8.0,Abbeville,Washington,45_001,24_043,inflow_09_13_South Carolina.csv,2009,2013
45,001,34,033,South Carolina,Abbeville County,25010.0,80.0,22397.0,518.0,2565.0,522.0,1053.0,352.0,1347.0,359.0,165.0,78.0,48.0,42.0,New Jersey,Salem County,65795.0,770.0,58393.0,698.0,7402.0,913.0,3818.0,670.0,2135.0,542.0,1449.0,408.0,,,8.0,13.0,Abbeville,Salem,45_001,34_033,inflow_09_13_South Carolina.csv,2009,2013
45,001,37,003,South Carolina,Abbeville County,25010.0,80.0,22397.0,518.0,2565.0,522.0,1053.0,352.0,1347.0,359.0,165.0,78.0,48.0,42.0,North Carolina,Alexander County,37021.0,551.0,33510.0,529.0,3511.0,629.0,1715.0,425.0,1335.0,447.0,461.0,258.0,,,20.0,25.0,Abbeville,Alexander,45_001,37_003,inflow_09_13_South Carolina.csv,2009,2013
45,001,37,021,South Carolina,Abbeville County,25010.0,80.0,22397.0,518.0,2565.0,522.0,1053.0,352.0,1347.0,359.0,165.0,78.0,48.0,42.0,North Carolina,Buncombe County,237532.0,2183.0,200633.0,2150.0,36872.0,2143.0,22008.0,1729.0,6794.0,722.0,8070.0,1285.0,27.0,43.0,7.0,14.0,Abbeville,Buncombe,45_001,37_021,inflow_09_13_South Carolina.csv,2009,2013
45,001,37,025,South Carolina,Abbeville County,25010.0,80.0,22397.0,518.0,2565.0,522.0,1053.0,352.0,1347.0,359.0,165.0,78.0,48.0,42.0,North Carolina,Cabarrus County,178620.0,1752.0,157450.0,1874.0,21170.0,1667.0,10819.0,1412.0,7066.0,931.0,3285.0,576.0,,,5.0,10.0,Abbeville,Cabarrus,45_001,37_025,inflow_09_13_South Carolina.csv,2009,2013
45,001,37,057,South Carolina,Abbeville County,25010.0,80.0,22397.0,518.0,2565.0,522.0,1053.0,352.0,1347.0,359.0,165.0,78.0,48.0,42.0,North Carolina,Davidson County,162956.0,1309.0,142490.0,1406.0,20466.0,1464.0,12171.0,1158.0,7289.0,1041.0,1006.0,266.0,,,6.0,14.0,Abbeville,Davidson,45_001,37_057,inflow_09_13_South Carolina.csv,2009,2013
45,001,37,119,South Carolina,Abbeville County,25010.0,80.0,22397.0,518.0,2565.0,522.0,1053.0,352.0,1347.0,359.0,165.0,78.0,48.0,42.0,North Carolina,Mecklenburg County,919449.0,3341.0,751838.0,4679.0,167611.0,5151.0,115509.0,4252.0,24693.0,1773.0,27409.0,2136.0,,,10.0,15.0,Abbeville,Mecklenburg,45_001,37_119,inflow_09_13_South Carolina.csv,2009,2013
45,001,39,045,South Carolina,Abbeville County,25010.0,80.0,22397.0,518.0,2565.0,522.0,1053.0,352.0,1347.0,359.0,165.0,78.0,48.0,42.0,Ohio,Fairfield County,145330.0,1425.0,123019.0,1561.0,22311.0,1724.0,13338.0,1452.0,6724.0,785.0,2249.0,466.0,,,19.0,31.0,Abbeville,Fairfield,45_001,39_045,inflow_09_13_South Carolina.csv,2009,2013
45,001,42,055,South Carolina,Abbeville County,25010.0,80.0,22397.0,518.0,2565.0,522.0,1053.0,352.0,1347.0,359.0,165.0,78.0,48.0,42.0,Pennsylvania,Franklin County,149328.0,1572.0,131205.0,1627.0,18123.0,1579.0,10300.0,1135.0,3561.0,572.0,4262.0,985.0,,,23.0,37.0,Abbeville,Franklin,45_001,42_055,inflow_09_13_South Carolina.csv,2009,2013
45,001,42,079,South Carolina,Abbeville County,25010.0,80.0,22397.0,518.0,2565.0,522.0,1053.0,352.0,1347.0,359.0,165.0,78.0,48.0,42.0,Pennsylvania,Luzerne County,314449.0,1678.0,277857.0,1990.0,36539.0,1925.0,25883.0,1532.0,5872.0,698.0,4784.0,782.0,53.0,49.0,2.0,6.0,Abbeville,Luzerne,45_001,42_079,inflow_09_13_South Carolina.csv,2009,2013
45,001,45,003,South Carolina,Abbeville County,25010.0,80.0,22397.0,518.0,2565.0,522.0,1053.0,352.0,1347.0,359.0,165.0,78.0,48.0,42.0,South Carolina,Aiken County,159946.0,1314.0,140588.0,1723.0,19358.0,1866.0,11004.0,1375.0,3376.0,763.0,4978.0,868.0,,,3.0,8.0,Abbeville,Aiken,45_001,45_003,inflow_09_13_South Carolina.csv,2009,2013
45,001,45,007,South Carolina,Abbeville County,25010.0,80.0,22397.0,518.0,2565.0,522.0,1053.0,352.0,1347.0,359.0,165.0,78.0,48.0,42.0,South Carolina,Anderson County,187021.0,1437.0,161637.0,1793.0,25365.0,1592.0,15848.0,1385.0,6342.0,898.0,3175.0,611.0,19.0,29.0,179.0,98.0,Abbeville,Anderson,45_001,45_007,inflow_09_13_South Carolina.csv,2009,2013
45,001,45,011,South Carolina,Abbeville County,25010.0,80.0,22397.0,518.0,2565.0,522.0,1053.0,352.0,1347.0,359.0,165.0,78.0,48.0,42.0,South Carolina,Barnwell County,22977.0,472.0,20211.0,465.0,2766.0,640.0,1349.0,435.0,1076.0,353.0,341.0,230.0,,,27.0,27.0,Abbeville,Barnwell,45_001,45_011,inflow_09_13_South Carolina.csv,2009,2013
45,001,45,013,South Carolina,Abbeville County,25010.0,80.0,22397.0,518.0,2565.0,522.0,1053.0,352.0,1347.0,359.0,165.0,78.0,48.0,42.0,South Carolina,Beaufort County,159975.0,2104.0,133330.0,1867.0,26645.0,2001.0,12819.0,1400.0,3667.0,564.0,10159.0,1385.0,,,35.0,44.0,Abbeville,Beaufort,45_001,45_013,inflow_09_13_South Carolina.csv,2009,2013
45,001,45,015,South Carolina,Abbeville County,25010.0,80.0,22397.0,518.0,2565.0,522.0,1053.0,352.0,1347.0,359.0,165.0,78.0,48.0,42.0,South Carolina,Berkeley County,177057.0,2130.0,150568.0,1852.0,26489.0,1834.0,12510.0,1279.0,6590.0,765.0,7389.0,994.0,,,4.0,9.0,Abbeville,Berkeley,45_001,45_015,inflow_09_13_South Carolina.csv,2009,2013
45,001,45,019,South Carolina,Abbeville County,25010.0,80.0,22397.0,518.0,2565.0,522.0,1053.0,352.0,1347.0,359.0,165.0,78.0,48.0,42.0,South Carolina,Charleston County,350721.0,2744.0,285409.0,2488.0,65312.0,2741.0,39191.0,2044.0,12653.0,1300.0,13468.0,1395.0,,,20.0,29.0,Abbeville,Charleston,45_001,45_019,inflow_09_13_South Carolina.csv,2009,2013
