origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file,year_start,year_end
05,007,40,001,Arkansas,Benton County,224567.0,390.0,185080.0,2255.0,37588.0,2347.0,22900.0,1939.0,5644.0,838.0,9044.0,1232.0,1899.0,559.0,Oklahoma,Adair County,23438.0,421.0,20716.0,313.0,2722.0,363.0,987.0,215.0,1236.0,330.0,499.0,188.0,,,160.0,155.0,Benton,Adair,05_007,40_001,outflow_09_13_Oklahoma.csv,2009,2013
05,125,40,001,Arkansas,Saline County,108745.0,227.0,96135.0,1324.0,12518.0,1357.0,5982.0,860.0,4871.0,934.0,1665.0,408.0,92.0,62.0,Oklahoma,Adair County,23438.0,421.0,20716.0,313.0,2722.0,363.0,987.0,215.0,1236.0,330.0,499.0,188.0,,,33.0,39.0,Saline,Adair,05_125,40_001,outflow_09_13_Oklahoma.csv,2009,2013
05,131,40,001,Arkansas,Sebastian County,125424.0,226.0,106256.0,1509.0,18941.0,1517.0,12459.0,1296.0,2750.0,533.0,3732.0,866.0,227.0,109.0,Oklahoma,Adair County,23438.0,421.0,20716.0,313.0,2722.0,363.0,987.0,215.0,1236.0,330.0,499.0,188.0,,,12.0,19.0,Sebastian,Adair,05_131,40_001,outflow_09_13_Oklahoma.csv,2009,2013
05,143,40,001,Arkansas,Washington County,205423.0,350.0,154458.0,2456.0,49892.0,2374.0,31565.0,2145.0,10212.0,1259.0,8115.0,1048.0,1073.0,328.0,Oklahoma,Adair County,23438.0,421.0,20716.0,313.0,2722.0,363.0,987.0,215.0,1236.0,330.0,499.0,188.0,,,135.0,87.0,Washington,Adair,05_143,40_001,outflow_09_13_Oklahoma.csv,2009,2013
20,021,40,001,Kansas,Cherokee County,21179.0,64.0,18519.0,431.0,2642.0,437.0,1719.0,363.0,235.0,152.0,688.0,229.0,18.0,20.0,Oklahoma,Adair County,23438.0,421.0,20716.0,313.0,2722.0,363.0,987.0,215.0,1236.0,330.0,499.0,188.0,,,54.0,62.0,Cherokee,Adair,20_021,40_001,outflow_09_13_Oklahoma.csv,2009,2013
20,177,40,001,Kansas,Shawnee County,175885.0,291.0,145915.0,2062.0,29558.0,2006.0,20558.0,1783.0,5131.0,759.0,3869.0,756.0,412.0,120.0,Oklahoma,Adair County,23438.0,421.0,20716.0,313.0,2722.0,363.0,987.0,215.0,1236.0,330.0,499.0,188.0,,,8.0,13.0,Shawnee,Adair,20_177,40_001,outflow_09_13_Oklahoma.csv,2009,2013
29,021,40,001,Missouri,Buchanan County,88184.0,216.0,69932.0,1203.0,18051.0,1185.0,10600.0,1163.0,4655.0,595.0,2796.0,536.0,201.0,99.0,Oklahoma,Adair County,23438.0,421.0,20716.0,313.0,2722.0,363.0,987.0,215.0,1236.0,330.0,499.0,188.0,,,8.0,15.0,Buchanan,Adair,29_021,40_001,outflow_09_13_Oklahoma.csv,2009,2013
29,095,40,001,Missouri,Jackson County,666095.0,592.0,553655.0,3728.0,110397.0,3770.0,76754.0,3361.0,14419.0,976.0,19224.0,1338.0,2043.0,339.0,Oklahoma,Adair County,23438.0,421.0,20716.0,313.0,2722.0,363.0,987.0,215.0,1236.0,330.0,499.0,188.0,,,5.0,7.0,Jackson,Adair,29_095,40_001,outflow_09_13_Oklahoma.csv,2009,2013
29,197,40,001,Missouri,Schuyler County,4295.0,39.0,3860.0,132.0,434.0,130.0,211.0,81.0,174.0,63.0,49.0,33.0,1.0,3.0,Oklahoma,Adair County,23438.0,421.0,20716.0,313.0,2722.0,363.0,987.0,215.0,1236.0,330.0,499.0,188.0,,,3.0,5.0,Schuyler,Adair,29_197,40_001,outflow_09_13_Oklahoma.csv,2009,2013
31,055,40,001,Nebraska,Douglas County,516890.0,443.0,424780.0,2700.0,89249.0,2664.0,61996.0,2432.0,12483.0,1099.0,14770.0,1319.0,2861.0,453.0,Oklahoma,Adair County,23438.0,421.0,20716.0,313.0,2722.0,363.0,987.0,215.0,1236.0,330.0,499.0,188.0,,,16.0,25.0,Douglas,Adair,31_055,40_001,outflow_09_13_Oklahoma.csv,2009,2013
40,003,40,001,Oklahoma,Alfalfa County,5598.0,25.0,4543.0,145.0,1055.0,151.0,396.0,116.0,476.0,104.0,183.0,73.0,,,Oklahoma,Adair County,23438.0,421.0,20716.0,313.0,2722.0,363.0,987.0,215.0,1236.0,330.0,499.0,188.0,,,5.0,6.0,Alfalfa,Adair,40_003,40_001,outflow_09_13_Oklahoma.csv,2009,2013
