origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,source_file
001,031,021,001,Alabama,Coffee County,50606.0,152.0,42188.0,961.0,8149.0,886.0,3367.0,683.0,2769.0,530.0,2013.0,438.0,269.0,151.0,Kentucky,Adair County,19466.0,519.0,17109.0,431.0,2357.0,445.0,725.0,253.0,1440.0,322.0,192.0,153.0,,,2.0,3.0,Coffee,Adair,outflow_13_17_Kentucky.csv
019,153,021,001,Iowa,Polk County,460265.0,617.0,372626.0,3829.0,85952.0,3630.0,57246.0,3507.0,16324.0,1385.0,12382.0,1163.0,1687.0,379.0,Kentucky,Adair County,19466.0,519.0,17109.0,431.0,2357.0,445.0,725.0,253.0,1440.0,322.0,192.0,153.0,,,2.0,5.0,Polk,Adair,outflow_13_17_Kentucky.csv
021,005,021,001,Kentucky,Anderson County,21619.0,136.0,18831.0,655.0,2767.0,653.0,1361.0,446.0,1352.0,430.0,54.0,51.0,21.0,21.0,Kentucky,Adair County,19466.0,519.0,17109.0,431.0,2357.0,445.0,725.0,253.0,1440.0,322.0,192.0,153.0,,,57.0,51.0,Anderson,Adair,outflow_13_17_Kentucky.csv
021,009,021,001,Kentucky,Barren County,42656.0,164.0,36992.0,820.0,5632.0,756.0,3134.0,542.0,1773.0,538.0,725.0,298.0,32.0,26.0,Kentucky,Adair County,19466.0,519.0,17109.0,431.0,2357.0,445.0,725.0,253.0,1440.0,322.0,192.0,153.0,,,43.0,45.0,Barren,Adair,outflow_13_17_Kentucky.csv
021,013,021,001,Kentucky,Bell County,27108.0,134.0,24117.0,556.0,2991.0,515.0,1639.0,394.0,938.0,250.0,414.0,150.0,,,Kentucky,Adair County,19466.0,519.0,17109.0,431.0,2357.0,445.0,725.0,253.0,1440.0,322.0,192.0,153.0,,,3.0,9.0,Bell,Adair,outflow_13_17_Kentucky.csv
021,037,021,001,Kentucky,Campbell County,90811.0,173.0,78301.0,1059.0,12234.0,1061.0,6003.0,762.0,2946.0,389.0,3285.0,543.0,276.0,149.0,Kentucky,Adair County,19466.0,519.0,17109.0,431.0,2357.0,445.0,725.0,253.0,1440.0,322.0,192.0,153.0,,,20.0,33.0,Campbell,Adair,outflow_13_17_Kentucky.csv
021,041,021,001,Kentucky,Carroll County,10503.0,70.0,8350.0,420.0,2145.0,419.0,1242.0,340.0,495.0,285.0,408.0,231.0,8.0,14.0,Kentucky,Adair County,19466.0,519.0,17109.0,431.0,2357.0,445.0,725.0,253.0,1440.0,322.0,192.0,153.0,,,4.0,5.0,Carroll,Adair,outflow_13_17_Kentucky.csv
021,045,021,001,Kentucky,Casey County,15642.0,88.0,13828.0,449.0,1778.0,436.0,716.0,221.0,568.0,236.0,494.0,309.0,36.0,27.0,Kentucky,Adair County,19466.0,519.0,17109.0,431.0,2357.0,445.0,725.0,253.0,1440.0,322.0,192.0,153.0,,,5.0,7.0,Casey,Adair,outflow_13_17_Kentucky.csv
021,047,021,001,Kentucky,Christian County,71162.0,202.0,54362.0,1324.0,15856.0,1329.0,6409.0,1000.0,1900.0,499.0,7547.0,1120.0,944.0,305.0,Kentucky,Adair County,19466.0,519.0,17109.0,431.0,2357.0,445.0,725.0,253.0,1440.0,322.0,192.0,153.0,,,96.0,90.0,Christian,Adair,outflow_13_17_Kentucky.csv
021,053,021,001,Kentucky,Clinton County,10077.0,55.0,9220.0,244.0,857.0,230.0,468.0,179.0,279.0,132.0,110.0,99.0,,,Kentucky,Adair County,19466.0,519.0,17109.0,431.0,2357.0,445.0,725.0,253.0,1440.0,322.0,192.0,153.0,,,12.0,20.0,Clinton,Adair,outflow_13_17_Kentucky.csv
021,057,021,001,Kentucky,Cumberland County,6638.0,73.0,5865.0,242.0,773.0,251.0,381.0,204.0,223.0,183.0,169.0,132.0,,,Kentucky,Adair County,19466.0,519.0,17109.0,431.0,2357.0,445.0,725.0,253.0,1440.0,322.0,192.0,153.0,,,155.0,192.0,Cumberland,Adair,outflow_13_17_Kentucky.csv
021,059,021,001,Kentucky,Daviess County,97923.0,229.0,82700.0,1455.0,14827.0,1447.0,10675.0,1250.0,2485.0,462.0,1667.0,389.0,396.0,188.0,Kentucky,Adair County,19466.0,519.0,17109.0,431.0,2357.0,445.0,725.0,253.0,1440.0,322.0,192.0,153.0,,,9.0,16.0,Daviess,Adair,outflow_13_17_Kentucky.csv
021,067,021,001,Kentucky,Fayette County,311400.0,359.0,234244.0,2417.0,73785.0,2377.0,46721.0,1986.0,14886.0,1336.0,12178.0,996.0,3371.0,619.0,Kentucky,Adair County,19466.0,519.0,17109.0,431.0,2357.0,445.0,725.0,253.0,1440.0,322.0,192.0,153.0,,,100.0,68.0,Fayette,Adair,outflow_13_17_Kentucky.csv
021,073,021,001,Kentucky,Franklin County,49507.0,131.0,40181.0,975.0,8881.0,961.0,4526.0,729.0,3117.0,637.0,1238.0,319.0,445.0,227.0,Kentucky,Adair County,19466.0,519.0,17109.0,431.0,2357.0,445.0,725.0,253.0,1440.0,322.0,192.0,153.0,,,14.0,22.0,Franklin,Adair,outflow_13_17_Kentucky.csv
021,085,021,001,Kentucky,Grayson County,25781.0,140.0,22496.0,505.0,3216.0,502.0,2135.0,440.0,820.0,208.0,261.0,155.0,69.0,57.0,Kentucky,Adair County,19466.0,519.0,17109.0,431.0,2357.0,445.0,725.0,253.0,1440.0,322.0,192.0,153.0,,,32.0,37.0,Grayson,Adair,outflow_13_17_Kentucky.csv
021,087,021,001,Kentucky,Green County,10891.0,55.0,9761.0,300.0,1116.0,298.0,617.0,232.0,458.0,179.0,41.0,35.0,14.0,23.0,Kentucky,Adair County,19466.0,519.0,17109.0,431.0,2357.0,445.0,725.0,253.0,1440.0,322.0,192.0,153.0,,,102.0,107.0,Green,Adair,outflow_13_17_Kentucky.csv
021,093,021,001,Kentucky,Hardin County,106381.0,347.0,82027.0,1676.0,23206.0,1677.0,11884.0,1320.0,4921.0,741.0,6401.0,877.0,1148.0,343.0,Kentucky,Adair County,19466.0,519.0,17109.0,431.0,2357.0,445.0,725.0,253.0,1440.0,322.0,192.0,153.0,,,96.0,70.0,Hardin,Adair,outflow_13_17_Kentucky.csv
021,111,021,001,Kentucky,Jefferson County,754744.0,672.0,639101.0,3550.0,112367.0,3663.0,81534.0,3312.0,15260.0,1313.0,15573.0,1228.0,3276.0,549.0,Kentucky,Adair County,19466.0,519.0,17109.0,431.0,2357.0,445.0,725.0,253.0,1440.0,322.0,192.0,153.0,,,112.0,56.0,Jefferson,Adair,outflow_13_17_Kentucky.csv
021,117,021,001,Kentucky,Kenton County,161640.0,292.0,136782.0,1543.0,24422.0,1541.0,12323.0,1422.0,6247.0,820.0,5852.0,940.0,436.0,166.0,Kentucky,Adair County,19466.0,519.0,17109.0,431.0,2357.0,445.0,725.0,253.0,1440.0,322.0,192.0,153.0,,,18.0,29.0,Kenton,Adair,outflow_13_17_Kentucky.csv
