origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,source_file
004,013,027,001,Arizona,Maricopa County,3835677.0,1696.0,3067321.0,12603.0,743278.0,12614.0,574235.0,11769.0,39795.0,2829.0,129248.0,4343.0,25078.0,2110.0,Minnesota,Aitkin County,15777.0,229.0,14395.0,213.0,1382.0,236.0,695.0,173.0,600.0,170.0,87.0,58.0,,,17.0,28.0,Maricopa,Aitkin,outflow_09_13_Minnesota.csv
027,003,027,001,Minnesota,Anoka County,329737.0,320.0,291319.0,1821.0,37211.0,1805.0,18710.0,1516.0,14528.0,1204.0,3973.0,688.0,1207.0,328.0,Minnesota,Aitkin County,15777.0,229.0,14395.0,213.0,1382.0,236.0,695.0,173.0,600.0,170.0,87.0,58.0,,,9.0,14.0,Anoka,Aitkin,outflow_09_13_Minnesota.csv
027,005,027,001,Minnesota,Becker County,32470.0,64.0,28751.0,453.0,3669.0,441.0,1951.0,336.0,956.0,190.0,762.0,253.0,50.0,30.0,Minnesota,Aitkin County,15777.0,229.0,14395.0,213.0,1382.0,236.0,695.0,173.0,600.0,170.0,87.0,58.0,,,4.0,5.0,Becker,Aitkin,outflow_09_13_Minnesota.csv
027,011,027,001,Minnesota,Big Stone County,5172.0,17.0,4707.0,107.0,463.0,105.0,272.0,75.0,152.0,65.0,39.0,21.0,2.0,3.0,Minnesota,Aitkin County,15777.0,229.0,14395.0,213.0,1382.0,236.0,695.0,173.0,600.0,170.0,87.0,58.0,,,7.0,11.0,Big Stone,Aitkin,outflow_09_13_Minnesota.csv
027,035,027,001,Minnesota,Crow Wing County,61997.0,131.0,53570.0,777.0,8259.0,770.0,5050.0,677.0,2492.0,392.0,717.0,183.0,168.0,90.0,Minnesota,Aitkin County,15777.0,229.0,14395.0,213.0,1382.0,236.0,695.0,173.0,600.0,170.0,87.0,58.0,,,41.0,32.0,Crow Wing,Aitkin,outflow_09_13_Minnesota.csv
027,037,027,001,Minnesota,Dakota County,397369.0,409.0,345621.0,2469.0,49614.0,2431.0,26768.0,1760.0,16761.0,1391.0,6085.0,649.0,2134.0,549.0,Minnesota,Aitkin County,15777.0,229.0,14395.0,213.0,1382.0,236.0,695.0,173.0,600.0,170.0,87.0,58.0,,,23.0,26.0,Dakota,Aitkin,outflow_09_13_Minnesota.csv
027,041,027,001,Minnesota,Douglas County,35884.0,90.0,30642.0,572.0,5183.0,538.0,3220.0,498.0,1696.0,355.0,267.0,109.0,59.0,37.0,Minnesota,Aitkin County,15777.0,229.0,14395.0,213.0,1382.0,236.0,695.0,173.0,600.0,170.0,87.0,58.0,,,48.0,46.0,Douglas,Aitkin,outflow_09_13_Minnesota.csv
027,053,027,001,Minnesota,Hennepin County,1155216.0,763.0,954663.0,3915.0,191690.0,3879.0,124132.0,3557.0,39041.0,1864.0,28517.0,1374.0,8863.0,787.0,Minnesota,Aitkin County,15777.0,229.0,14395.0,213.0,1382.0,236.0,695.0,173.0,600.0,170.0,87.0,58.0,,,82.0,72.0,Hennepin,Aitkin,outflow_09_13_Minnesota.csv
027,059,027,001,Minnesota,Isanti County,37484.0,133.0,32972.0,622.0,4435.0,634.0,1655.0,367.0,2277.0,504.0,503.0,224.0,77.0,48.0,Minnesota,Aitkin County,15777.0,229.0,14395.0,213.0,1382.0,236.0,695.0,173.0,600.0,170.0,87.0,58.0,,,47.0,68.0,Isanti,Aitkin,outflow_09_13_Minnesota.csv
027,061,027,001,Minnesota,Itasca County,44776.0,79.0,39406.0,640.0,5271.0,630.0,3103.0,511.0,1535.0,420.0,633.0,250.0,99.0,54.0,Minnesota,Aitkin County,15777.0,229.0,14395.0,213.0,1382.0,236.0,695.0,173.0,600.0,170.0,87.0,58.0,,,16.0,16.0,Itasca,Aitkin,outflow_09_13_Minnesota.csv
