origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file
01,005,16,001,Alabama,Barbour County,25925.0,67.0,22669.0,488.0,3215.0,481.0,1988.0,447.0,893.0,214.0,334.0,147.0,41.0,36.0,Idaho,Ada County,426288.0,2575.0,355999.0,3657.0,70289.0,3698.0,45100.0,3124.0,11707.0,1298.0,13482.0,1199.0,,,5.0,7.0,Barbour,Ada,01_005,16_001,outflow_13_17_Idaho.csv
01,025,16,001,Alabama,Clarke County,24447.0,100.0,22358.0,401.0,2020.0,366.0,1504.0,347.0,238.0,99.0,278.0,134.0,69.0,69.0,Idaho,Ada County,426288.0,2575.0,355999.0,3657.0,70289.0,3698.0,45100.0,3124.0,11707.0,1298.0,13482.0,1199.0,,,7.0,10.0,Clarke,Ada,01_025,16_001,outflow_13_17_Idaho.csv
01,073,16,001,Alabama,Jefferson County,650865.0,697.0,545849.0,4364.0,103066.0,4416.0,72705.0,3742.0,17784.0,1426.0,12577.0,1372.0,1950.0,350.0,Idaho,Ada County,426288.0,2575.0,355999.0,3657.0,70289.0,3698.0,45100.0,3124.0,11707.0,1298.0,13482.0,1199.0,,,12.0,18.0,Jefferson,Ada,01_073,16_001,outflow_13_17_Idaho.csv
01,095,16,001,Alabama,Marshall County,93722.0,220.0,80658.0,1161.0,12930.0,1169.0,7636.0,1030.0,3953.0,773.0,1341.0,382.0,134.0,73.0,Idaho,Ada County,426288.0,2575.0,355999.0,3657.0,70289.0,3698.0,45100.0,3124.0,11707.0,1298.0,13482.0,1199.0,,,32.0,55.0,Marshall,Ada,01_095,16_001,outflow_13_17_Idaho.csv
01,123,16,001,Alabama,Tallapoosa County,40283.0,152.0,36629.0,814.0,3640.0,785.0,2182.0,591.0,869.0,296.0,589.0,304.0,14.0,17.0,Idaho,Ada County,426288.0,2575.0,355999.0,3657.0,70289.0,3698.0,45100.0,3124.0,11707.0,1298.0,13482.0,1199.0,,,26.0,29.0,Tallapoosa,Ada,01_123,16_001,outflow_13_17_Idaho.csv
02,020,16,001,Alaska,Anchorage Municipality,294072.0,458.0,235360.0,2908.0,55824.0,2846.0,37387.0,2563.0,5503.0,1026.0,12934.0,1064.0,2888.0,604.0,Idaho,Ada County,426288.0,2575.0,355999.0,3657.0,70289.0,3698.0,45100.0,3124.0,11707.0,1298.0,13482.0,1199.0,,,41.0,45.0,Anchorage Municipality,Ada,02_020,16_001,outflow_13_17_Idaho.csv
02,070,16,001,Alaska,Dillingham Census Area,4899.0,17.0,4208.0,114.0,681.0,114.0,452.0,89.0,174.0,61.0,55.0,27.0,10.0,12.0,Idaho,Ada County,426288.0,2575.0,355999.0,3657.0,70289.0,3698.0,45100.0,3124.0,11707.0,1298.0,13482.0,1199.0,,,4.0,8.0,Dillingham Census Area,Ada,02_070,16_001,outflow_13_17_Idaho.csv
02,090,16,001,Alaska,Fairbanks North Star Borough,98368.0,291.0,75876.0,1366.0,21226.0,1364.0,11665.0,1037.0,1862.0,431.0,7699.0,776.0,1266.0,367.0,Idaho,Ada County,426288.0,2575.0,355999.0,3657.0,70289.0,3698.0,45100.0,3124.0,11707.0,1298.0,13482.0,1199.0,,,35.0,35.0,Fairbanks North Star Borough,Ada,02_090,16_001,outflow_13_17_Idaho.csv
02,110,16,001,Alaska,Juneau City and Borough,32178.0,89.0,26131.0,677.0,5821.0,701.0,3736.0,582.0,580.0,165.0,1505.0,428.0,226.0,105.0,Idaho,Ada County,426288.0,2575.0,355999.0,3657.0,70289.0,3698.0,45100.0,3124.0,11707.0,1298.0,13482.0,1199.0,,,37.0,35.0,Juneau City and Borough,Ada,02_110,16_001,outflow_13_17_Idaho.csv
02,122,16,001,Alaska,Kenai Peninsula Borough,57391.0,134.0,47233.0,801.0,9948.0,822.0,6209.0,812.0,1740.0,295.0,1999.0,429.0,210.0,120.0,Idaho,Ada County,426288.0,2575.0,355999.0,3657.0,70289.0,3698.0,45100.0,3124.0,11707.0,1298.0,13482.0,1199.0,,,10.0,15.0,Kenai Peninsula Borough,Ada,02_122,16_001,outflow_13_17_Idaho.csv
