origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,source_file
008,041,045,001,Colorado,El Paso County,577823.0,582.0,444359.0,4003.0,126618.0,3715.0,75679.0,3276.0,10472.0,1018.0,40467.0,2025.0,6846.0,852.0,South Carolina,Abbeville County,24873.0,663.0,22127.0,723.0,2746.0,584.0,1441.0,466.0,1080.0,332.0,225.0,127.0,,,13.0,20.0,El Paso,Abbeville,outflow_05_09_South Carolina.csv
013,057,045,001,Georgia,Cherokee County,198170.0,344.0,167624.0,1888.0,29509.0,1886.0,13776.0,1628.0,10170.0,1204.0,5563.0,783.0,1037.0,429.0,South Carolina,Abbeville County,24873.0,663.0,22127.0,723.0,2746.0,584.0,1441.0,466.0,1080.0,332.0,225.0,127.0,,,16.0,25.0,Cherokee,Abbeville,outflow_05_09_South Carolina.csv
017,099,045,001,Illinois,LaSalle County,110980.0,209.0,97829.0,941.0,12987.0,972.0,8669.0,861.0,3143.0,477.0,1175.0,411.0,164.0,94.0,South Carolina,Abbeville County,24873.0,663.0,22127.0,723.0,2746.0,584.0,1441.0,466.0,1080.0,332.0,225.0,127.0,,,6.0,10.0,LaSalle,Abbeville,outflow_05_09_South Carolina.csv
024,009,045,001,Maryland,Calvert County,87043.0,226.0,79006.0,1060.0,7861.0,1087.0,3093.0,590.0,2364.0,589.0,2404.0,679.0,176.0,110.0,South Carolina,Abbeville County,24873.0,663.0,22127.0,723.0,2746.0,584.0,1441.0,466.0,1080.0,332.0,225.0,127.0,,,9.0,14.0,Calvert,Abbeville,outflow_05_09_South Carolina.csv
026,155,045,001,Michigan,Shiawassee County,70669.0,123.0,60843.0,965.0,9641.0,979.0,5923.0,813.0,2830.0,544.0,888.0,270.0,185.0,141.0,South Carolina,Abbeville County,24873.0,663.0,22127.0,723.0,2746.0,584.0,1441.0,466.0,1080.0,332.0,225.0,127.0,,,49.0,72.0,Shiawassee,Abbeville,outflow_05_09_South Carolina.csv
026,163,045,001,Michigan,Wayne County,1952341.0,1196.0,1668821.0,6613.0,275076.0,6240.0,226903.0,6010.0,31328.0,2065.0,16845.0,1651.0,8444.0,991.0,South Carolina,Abbeville County,24873.0,663.0,22127.0,723.0,2746.0,584.0,1441.0,466.0,1080.0,332.0,225.0,127.0,,,10.0,14.0,Wayne,Abbeville,outflow_05_09_South Carolina.csv
037,063,045,001,North Carolina,Durham County,251909.0,489.0,192867.0,2824.0,56485.0,2809.0,32240.0,2594.0,11086.0,967.0,13159.0,1333.0,2557.0,552.0,South Carolina,Abbeville County,24873.0,663.0,22127.0,723.0,2746.0,584.0,1441.0,466.0,1080.0,332.0,225.0,127.0,,,25.0,42.0,Durham,Abbeville,outflow_05_09_South Carolina.csv
037,071,045,001,North Carolina,Gaston County,199462.0,307.0,167117.0,2236.0,31911.0,2152.0,20699.0,1920.0,6234.0,878.0,4978.0,866.0,434.0,162.0,South Carolina,Abbeville County,24873.0,663.0,22127.0,723.0,2746.0,584.0,1441.0,466.0,1080.0,332.0,225.0,127.0,,,12.0,21.0,Gaston,Abbeville,outflow_05_09_South Carolina.csv
037,133,045,001,North Carolina,Onslow County,161408.0,432.0,107098.0,2146.0,47806.0,2136.0,19711.0,1734.0,4066.0,837.0,24029.0,1870.0,6504.0,989.0,South Carolina,Abbeville County,24873.0,663.0,22127.0,723.0,2746.0,584.0,1441.0,466.0,1080.0,332.0,225.0,127.0,,,21.0,36.0,Onslow,Abbeville,outflow_05_09_South Carolina.csv
039,075,045,001,Ohio,Holmes County,40641.0,171.0,37884.0,608.0,2732.0,586.0,1605.0,406.0,954.0,425.0,173.0,151.0,25.0,31.0,South Carolina,Abbeville County,24873.0,663.0,22127.0,723.0,2746.0,584.0,1441.0,466.0,1080.0,332.0,225.0,127.0,,,2.0,4.0,Holmes,Abbeville,outflow_05_09_South Carolina.csv
039,077,045,001,Ohio,Huron County,59005.0,195.0,50130.0,1104.0,8794.0,1063.0,5434.0,798.0,2238.0,544.0,1122.0,472.0,81.0,79.0,South Carolina,Abbeville County,24873.0,663.0,22127.0,723.0,2746.0,584.0,1441.0,466.0,1080.0,332.0,225.0,127.0,,,41.0,55.0,Huron,Abbeville,outflow_05_09_South Carolina.csv
039,097,045,001,Ohio,Madison County,41261.0,97.0,33447.0,757.0,7799.0,732.0,2959.0,591.0,4410.0,562.0,430.0,214.0,15.0,19.0,South Carolina,Abbeville County,24873.0,663.0,22127.0,723.0,2746.0,584.0,1441.0,466.0,1080.0,332.0,225.0,127.0,,,5.0,10.0,Madison,Abbeville,outflow_05_09_South Carolina.csv
045,007,045,001,South Carolina,Anderson County,177796.0,246.0,148909.0,2099.0,28428.0,2045.0,18770.0,1622.0,5791.0,859.0,3867.0,742.0,459.0,198.0,South Carolina,Abbeville County,24873.0,663.0,22127.0,723.0,2746.0,584.0,1441.0,466.0,1080.0,332.0,225.0,127.0,,,300.0,235.0,Anderson,Abbeville,outflow_05_09_South Carolina.csv
045,009,045,001,South Carolina,Bamberg County,15239.0,103.0,12711.0,568.0,2480.0,569.0,560.0,337.0,1318.0,448.0,602.0,230.0,48.0,79.0,South Carolina,Abbeville County,24873.0,663.0,22127.0,723.0,2746.0,584.0,1441.0,466.0,1080.0,332.0,225.0,127.0,,,8.0,14.0,Bamberg,Abbeville,outflow_05_09_South Carolina.csv
