origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file
01,003,01,001,Alabama,Baldwin County,201089.0,448.0,177677.0,1809.0,22879.0,1749.0,12379.0,1366.0,4286.0,903.0,6214.0,825.0,533.0,307.0,Alabama,Autauga County,55457.0,1368.0,45931.0,1131.0,9526.0,1502.0,3876.0,983.0,4147.0,777.0,1503.0,394.0,,,194.0,148.0,Baldwin,Autauga,01_003,01_001,outflow_13_17_Alabama.csv
01,007,01,001,Alabama,Bibb County,22224.0,124.0,19459.0,593.0,2685.0,528.0,973.0,329.0,1631.0,412.0,81.0,76.0,80.0,62.0,Alabama,Autauga County,55457.0,1368.0,45931.0,1131.0,9526.0,1502.0,3876.0,983.0,4147.0,777.0,1503.0,394.0,,,36.0,51.0,Bibb,Autauga,01_007,01_001,outflow_13_17_Alabama.csv
01,015,01,001,Alabama,Calhoun County,114132.0,276.0,94440.0,1476.0,19487.0,1456.0,12036.0,1360.0,5020.0,932.0,2431.0,457.0,205.0,136.0,Alabama,Autauga County,55457.0,1368.0,45931.0,1131.0,9526.0,1502.0,3876.0,983.0,4147.0,777.0,1503.0,394.0,,,49.0,40.0,Calhoun,Autauga,01_015,01_001,outflow_13_17_Alabama.csv
01,019,01,001,Alabama,Cherokee County,25614.0,110.0,23162.0,469.0,2403.0,485.0,1180.0,353.0,722.0,409.0,501.0,223.0,49.0,58.0,Alabama,Autauga County,55457.0,1368.0,45931.0,1131.0,9526.0,1502.0,3876.0,983.0,4147.0,777.0,1503.0,394.0,,,31.0,44.0,Cherokee,Autauga,01_019,01_001,outflow_13_17_Alabama.csv
01,021,01,001,Alabama,Chilton County,43229.0,164.0,37962.0,983.0,5181.0,966.0,3589.0,887.0,1074.0,348.0,518.0,323.0,86.0,80.0,Alabama,Autauga County,55457.0,1368.0,45931.0,1131.0,9526.0,1502.0,3876.0,983.0,4147.0,777.0,1503.0,394.0,,,42.0,51.0,Chilton,Autauga,01_021,01_001,outflow_13_17_Alabama.csv
01,025,01,001,Alabama,Clarke County,24447.0,100.0,22358.0,401.0,2020.0,366.0,1504.0,347.0,238.0,99.0,278.0,134.0,69.0,69.0,Alabama,Autauga County,55457.0,1368.0,45931.0,1131.0,9526.0,1502.0,3876.0,983.0,4147.0,777.0,1503.0,394.0,,,11.0,18.0,Clarke,Autauga,01_025,01_001,outflow_13_17_Alabama.csv
01,031,01,001,Alabama,Coffee County,50606.0,152.0,42188.0,961.0,8149.0,886.0,3367.0,683.0,2769.0,530.0,2013.0,438.0,269.0,151.0,Alabama,Autauga County,55457.0,1368.0,45931.0,1131.0,9526.0,1502.0,3876.0,983.0,4147.0,777.0,1503.0,394.0,,,118.0,113.0,Coffee,Autauga,01_031,01_001,outflow_13_17_Alabama.csv
01,033,01,001,Alabama,Colbert County,53992.0,141.0,47917.0,785.0,5851.0,802.0,3713.0,593.0,1679.0,398.0,459.0,197.0,224.0,206.0,Alabama,Autauga County,55457.0,1368.0,45931.0,1131.0,9526.0,1502.0,3876.0,983.0,4147.0,777.0,1503.0,394.0,,,75.0,88.0,Colbert,Autauga,01_033,01_001,outflow_13_17_Alabama.csv
01,045,01,001,Alabama,Dale County,48783.0,154.0,39693.0,938.0,8812.0,899.0,3450.0,612.0,1810.0,521.0,3552.0,552.0,278.0,154.0,Alabama,Autauga County,55457.0,1368.0,45931.0,1131.0,9526.0,1502.0,3876.0,983.0,4147.0,777.0,1503.0,394.0,,,111.0,153.0,Dale,Autauga,01_045,01_001,outflow_13_17_Alabama.csv
01,047,01,001,Alabama,Dallas County,40116.0,178.0,35910.0,710.0,4131.0,682.0,2654.0,657.0,975.0,410.0,502.0,224.0,75.0,58.0,Alabama,Autauga County,55457.0,1368.0,45931.0,1131.0,9526.0,1502.0,3876.0,983.0,4147.0,777.0,1503.0,394.0,,,43.0,35.0,Dallas,Autauga,01_047,01_001,outflow_13_17_Alabama.csv
