origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,source_file
001,081,036,001,Alabama,Lee County,142796.0,260.0,109090.0,1869.0,32606.0,1839.0,16845.0,1505.0,8148.0,939.0,7613.0,827.0,1100.0,464.0,New York,Albany County,299547.0,1983.0,258335.0,1900.0,41162.0,1801.0,22803.0,1493.0,12435.0,1070.0,5924.0,615.0,50.0,41.0,15.0,23.0,Lee,Albany,outflow_09_13_New York.csv
002,050,036,001,Alaska,Bethel Census Area,17003.0,52.0,14484.0,436.0,2511.0,415.0,1747.0,410.0,438.0,125.0,326.0,141.0,8.0,9.0,New York,Albany County,299547.0,1983.0,258335.0,1900.0,41162.0,1801.0,22803.0,1493.0,12435.0,1070.0,5924.0,615.0,50.0,41.0,11.0,19.0,Bethel Census Area,Albany,outflow_09_13_New York.csv
004,003,036,001,Arizona,Cochise County,129638.0,234.0,104834.0,1448.0,23223.0,1468.0,11117.0,1099.0,4710.0,774.0,7396.0,835.0,1581.0,349.0,New York,Albany County,299547.0,1983.0,258335.0,1900.0,41162.0,1801.0,22803.0,1493.0,12435.0,1070.0,5924.0,615.0,50.0,41.0,38.0,50.0,Cochise,Albany,outflow_09_13_New York.csv
004,013,036,001,Arizona,Maricopa County,3835677.0,1696.0,3067321.0,12603.0,743278.0,12614.0,574235.0,11769.0,39795.0,2829.0,129248.0,4343.0,25078.0,2110.0,New York,Albany County,299547.0,1983.0,258335.0,1900.0,41162.0,1801.0,22803.0,1493.0,12435.0,1070.0,5924.0,615.0,50.0,41.0,108.0,88.0,Maricopa,Albany,outflow_09_13_New York.csv
004,015,036,001,Arizona,Mohave County,199603.0,286.0,157636.0,2588.0,41264.0,2613.0,23733.0,1964.0,5001.0,892.0,12530.0,1631.0,703.0,287.0,New York,Albany County,299547.0,1983.0,258335.0,1900.0,41162.0,1801.0,22803.0,1493.0,12435.0,1070.0,5924.0,615.0,50.0,41.0,42.0,68.0,Mohave,Albany,outflow_09_13_New York.csv
006,001,036,001,California,Alameda County,1517898.0,732.0,1276966.0,4940.0,225842.0,4778.0,146481.0,3798.0,57979.0,2427.0,21382.0,1442.0,15090.0,1150.0,New York,Albany County,299547.0,1983.0,258335.0,1900.0,41162.0,1801.0,22803.0,1493.0,12435.0,1070.0,5924.0,615.0,50.0,41.0,52.0,64.0,Alameda,Albany,outflow_09_13_New York.csv
006,013,036,001,California,Contra Costa County,1054696.0,623.0,899929.0,5047.0,147792.0,5196.0,99408.0,3970.0,38086.0,2558.0,10298.0,1021.0,6975.0,940.0,New York,Albany County,299547.0,1983.0,258335.0,1900.0,41162.0,1801.0,22803.0,1493.0,12435.0,1070.0,5924.0,615.0,50.0,41.0,16.0,26.0,Contra Costa,Albany,outflow_09_13_New York.csv
006,019,036,001,California,Fresno County,926307.0,802.0,774094.0,5222.0,148370.0,5024.0,120546.0,4682.0,21475.0,1769.0,6349.0,779.0,3843.0,652.0,New York,Albany County,299547.0,1983.0,258335.0,1900.0,41162.0,1801.0,22803.0,1493.0,12435.0,1070.0,5924.0,615.0,50.0,41.0,33.0,52.0,Fresno,Albany,outflow_09_13_New York.csv
006,037,036,001,California,Los Angeles County,9777020.0,2063.0,8451700.0,14171.0,1258734.0,13557.0,1043118.0,12522.0,121153.0,3737.0,94463.0,3659.0,66586.0,2476.0,New York,Albany County,299547.0,1983.0,258335.0,1900.0,41162.0,1801.0,22803.0,1493.0,12435.0,1070.0,5924.0,615.0,50.0,41.0,135.0,83.0,Los Angeles,Albany,outflow_09_13_New York.csv
006,059,036,001,California,Orange County,3016966.0,1372.0,2560409.0,9004.0,435336.0,8668.0,321416.0,7724.0,81847.0,3446.0,32073.0,1620.0,21221.0,1635.0,New York,Albany County,299547.0,1983.0,258335.0,1900.0,41162.0,1801.0,22803.0,1493.0,12435.0,1070.0,5924.0,615.0,50.0,41.0,18.0,22.0,Orange,Albany,outflow_09_13_New York.csv
