origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,municipio_county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,movers_within_puerto_rico_or_united_states1_estimate,origin_col_11_moe,movers_within_same_municipio_county_estimate,origin_col_13_moe,movers_from_different_municipio_or_county__same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,movers_from_elsewhere2_estimate,origin_col_19_moe,dest_state_name,dest_county_name,municipio_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,movers_within_puerto_rico_estimate,dest_col_27_moe,movers_within_same_municipio_estimate,dest_col_29_moe,movers_to_different_municipio_estimate,dest_col_31_moe,movers_to_united_state_estimate,dest_col_33_moe,movers_in_county_to_county_flow_estimate,dest_col_35_moe,dest_col_36,dest_col_37,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file
09,003,72,001,Connecticut,Hartford County,886422.0,598.0,776000.0,3231.0,105283.0,3254.0,72374.0,2840.0,15527.0,1009.0,17382.0,1451.0,5139.0,719.0,Puerto Rico,Adjuntas Municipio,19422.0,303.0,18210.0,293.0,1128.0,346.0,700.0,234.0,428.0,215.0,84.0,95.0,25.0,44.0,,,Hartford,Adjuntas Municipio,09_003,72_001,outflow_09_13_Puerto Rico.csv
21,093,72,001,Kentucky,Hardin County,104558.0,258.0,81016.0,1697.0,21876.0,1707.0,9980.0,1198.0,3275.0,637.0,8621.0,1243.0,1666.0,485.0,Puerto Rico,Adjuntas Municipio,19422.0,303.0,18210.0,293.0,1128.0,346.0,700.0,234.0,428.0,215.0,84.0,95.0,45.0,71.0,,,Hardin,Adjuntas Municipio,21_093,72_001,outflow_09_13_Puerto Rico.csv
34,011,72,001,New Jersey,Cumberland County,155051.0,303.0,136499.0,1359.0,17774.0,1254.0,10996.0,929.0,5215.0,687.0,1563.0,368.0,778.0,333.0,Puerto Rico,Adjuntas Municipio,19422.0,303.0,18210.0,293.0,1128.0,346.0,700.0,234.0,428.0,215.0,84.0,95.0,2.0,3.0,,,Cumberland,Adjuntas Municipio,34_011,72_001,outflow_09_13_Puerto Rico.csv
36,085,72,001,New York,Richmond County,465145.0,464.0,436798.0,2003.0,27226.0,1987.0,16662.0,1625.0,7589.0,1090.0,2975.0,564.0,1121.0,273.0,Puerto Rico,Adjuntas Municipio,19422.0,303.0,18210.0,293.0,1128.0,346.0,700.0,234.0,428.0,215.0,84.0,95.0,12.0,19.0,,,Richmond,Adjuntas Municipio,36_085,72_001,outflow_09_13_Puerto Rico.csv
72,005,72,001,Puerto Rico,Aguadilla Municipio,59302.0,220.0,54113.0,824.0,4360.0,707.0,2793.0,578.0,1567.0,412.0,688.0,299.0,141.0,91.0,Puerto Rico,Adjuntas Municipio,19422.0,303.0,18210.0,293.0,1128.0,346.0,700.0,234.0,428.0,215.0,84.0,95.0,6.0,10.0,,,Aguadilla Municipio,Adjuntas Municipio,72_005,72_001,outflow_09_13_Puerto Rico.csv
72,021,72,001,Puerto Rico,Bayamón Municipio,203000.0,250.0,187031.0,1296.0,14653.0,1172.0,7971.0,995.0,6682.0,771.0,1224.0,257.0,92.0,48.0,Puerto Rico,Adjuntas Municipio,19422.0,303.0,18210.0,293.0,1128.0,346.0,700.0,234.0,428.0,215.0,84.0,95.0,5.0,9.0,,,Bayamón Municipio,Adjuntas Municipio,72_021,72_001,outflow_09_13_Puerto Rico.csv
72,025,72,001,Puerto Rico,Caguas Municipio,140020.0,211.0,128808.0,1189.0,10219.0,1140.0,5844.0,862.0,4375.0,679.0,849.0,314.0,144.0,79.0,Puerto Rico,Adjuntas Municipio,19422.0,303.0,18210.0,293.0,1128.0,346.0,700.0,234.0,428.0,215.0,84.0,95.0,26.0,29.0,,,Caguas Municipio,Adjuntas Municipio,72_025,72_001,outflow_09_13_Puerto Rico.csv
72,031,72,001,Puerto Rico,Carolina Municipio,172310.0,252.0,155948.0,1439.0,14455.0,1249.0,8685.0,1015.0,5770.0,822.0,1524.0,425.0,383.0,200.0,Puerto Rico,Adjuntas Municipio,19422.0,303.0,18210.0,293.0,1128.0,346.0,700.0,234.0,428.0,215.0,84.0,95.0,13.0,20.0,,,Carolina Municipio,Adjuntas Municipio,72_031,72_001,outflow_09_13_Puerto Rico.csv
72,043,72,001,Puerto Rico,Coamo Municipio,40002.0,163.0,37594.0,561.0,2257.0,567.0,1668.0,508.0,589.0,245.0,123.0,84.0,28.0,45.0,Puerto Rico,Adjuntas Municipio,19422.0,303.0,18210.0,293.0,1128.0,346.0,700.0,234.0,428.0,215.0,84.0,95.0,9.0,15.0,,,Coamo Municipio,Adjuntas Municipio,72_043,72_001,outflow_09_13_Puerto Rico.csv
72,063,72,001,Puerto Rico,Gurabo Municipio,45664.0,158.0,41813.0,747.0,3601.0,682.0,1629.0,510.0,1972.0,536.0,250.0,173.0,,,Puerto Rico,Adjuntas Municipio,19422.0,303.0,18210.0,293.0,1128.0,346.0,700.0,234.0,428.0,215.0,84.0,95.0,25.0,30.0,,,Gurabo Municipio,Adjuntas Municipio,72_063,72_001,outflow_09_13_Puerto Rico.csv
